question,answer1,answer2,spread,rewards_daily_rate,gm_reward_per_100,sm_reward_per_100,bid_reward_per_100,ask_reward_per_100,volatility_sum,volatilty/reward,min_size,1_hour,3_hour,6_hour,12_hour,24_hour,7_day,30_day,best_bid,best_ask,volatility_price,max_spread,tick_size,neg_risk,market_slug,token1,token2,condition_id
"Will ""Zootopia 2"" 5-Day Opening Box Office be between 143m and 157m?",Yes,No,0.02,10,2.47,2.47,2.28,2.67,59.92,0.04,20,0,0,0,0,9.12,25.4,25.4,0.11,0.13,0.12,4.5,0.01,TRUE,will-zootopia-2-5-day-opening-box-office-be-between-143m-and-157m,59206578657558869134888273106334283974817156725911685951747983957211559831396,51542772757808548888594037203007609337999970280070903806507341326299482955655,0x3cc911de7e9077c995361cb2513b824802ddc953178cb494e518408a6672cf60
Will Apple (AAPL) close at $265-$270 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.02,10,2.46,2.46,2.28,2.65,57.6,0.04,50,0,0,0,0,10.73,21.26,25.61,0.26,0.28,0.27,4.5,0.01,TRUE,will-aapl-close-between-265-and-270-week-november-21-2025,59066326052228720990129680956591352077878989511260881765399637233075252604201,34207448348130644401823312724302329957082229519595476267004038926624096590965,0xaa5e21102ac1656ae603f1768c62faab8ce091810af067340b235182a0ca59d5
Will Meta (META) close above $640 end of November?,Yes,No,0.02,10,2.46,2.46,2.26,2.67,166.53,0.01,50,0,0,7.34,5.22,45.74,69.19,48.81,0.12,0.14,0.13,4.5,0.01,FALSE,meta-above-640-on-november-28-2025,37081196132691079537625108565186315933932911637861467149648859355222964579329,74086082427927252165885291222914665301216409002935675906769384106625523263873,0x8f1873a4264387599296a78cfab81fd54b159d2b5c7357ec96e0576d99c4b1fd
Will Airbnb reach $136 in November?,Yes,No,0.02,10,2.45,2.48,2.1,2.86,89.1,0.03,50,0,0,0,12.85,9.12,44.21,42.75,0.04,0.06,0.05,4.5,0.01,FALSE,will-abnb-reach-136-in-november,61479207777186161930253532519887138140397030945909298919100479183878786188496,11796800862367682155903604697914302627624087701088817906834505148587950783576,0x5f46b05ef35fc46b3f066409bddf7147ca2c0bf4aaa7fbfd2f906c816139cf78
"Will GMGN launch a token by March 31, 2026?",Yes,No,0.02,10,2.43,2.44,2.46,2.41,104.65,0.02,50,0,11.06,13.53,9.59,31.81,36.42,36.42,0.12,0.14,0.13,3.5,0.01,FALSE,will-gmgn-launch-a-token-by-march-31-2026,47245142804167859728545033058825097146113525269487349714475043015478718468426,91277405843127004316738146012022819218257596171974409906112935386006135875823,0xd7ac726f7876f557b90fa40a544be1358cb6d2f903db72e76cf32c7f64c15344
Will Palantir dip to $141 in November?,Yes,No,0.02,10,2.43,2.44,2.17,2.71,123.45,0.02,50,0,0,23.32,24.12,32.98,50.37,47.33,0.09,0.11,0.1,4.5,0.01,FALSE,will-pltr-dip-to-141-in-november,18121767807230380137126098674197831468427869720750328264527807406809401542186,98836794767691289524372294555592545229553095932904321720769454274415475664486,0x41692fb1725503b5f1ac52c7ed0bc2053378e0a5b5aea3aae0981dbd0d42535d
Will Trump send Tomahawk to Ukraine by December 31?,Yes,No,0.03,10,2.42,2.46,2.04,2.87,28.48,0.08,100,41.4,29.01,20.55,14.55,11.76,8.03,19.16,0.11,0.14,0.12,3.5,0.01,FALSE,will-trump-send-tomahawk-to-ukraine-by-december-31-396,111272404878957648726379124907305297061530429841083687723751426668808753177055,18709822809959647939922139310242465687806680610148347306589497055775700951558,0x4a937f5db5c57600543afd2f3ca39f5ae53fa15911ee24fa2aae509ac8edc4d9
Will Microsoft (MSFT) close above $540 end of November?,Yes,No,0.03,10,2.41,2.43,2.09,2.77,110.02,0.02,50,0,0,0,0,25.19,26.69,55.67,0.04,0.07,0.06,4.5,0.01,FALSE,msft-above-540-on-november-28-2025,9994632823959066215728216060090008426206746160317651547076408223615828853442,21694487412539036403726423837517144989533894703286291266789354401246039530922,0xae5355f74f7d88ed1babc4129e340a121f9f39f72d66054b1a97cf47e7724159
Will Apple dip to $248 in November?,Yes,No,0.02,10,2.41,2.42,2.27,2.56,106.13,0.02,50,0,0,0,0,28.78,40.15,38.85,0.11,0.13,0.12,4.5,0.01,FALSE,will-aapl-dip-to-248-in-november,86552713575469172950940261214663539418781798647215802575366979000986228523703,5224794037369632761637623849824020189028008300991663869025534401678084419062,0xeddcfc17995c7e9bd89396c05e5bcb8be22b55f2cfb7be0d5271d1ffa9f0b68b
Will Tesla (TSLA) finish week of November 17 above $390?,Yes,No,0.01,20,2.4,2.41,2.44,2.37,89.22,0.03,20,0,0,1.42,1.01,29.74,29.74,29.74,0.69,0.7,0.7,4.5,0.01,FALSE,tsla-above-390-on-november-21-2025,113719120058228407170117708434487676162362684237691096025752676291977754609118,44381494460667925080625242836625563638553819523872066447013415465325296654471,0xb02245fd752ab89468d3708f8d0dbd4554954b25c8775cd407dcf6d25deefe57
Will Amazon reach $260 in November?,Yes,No,0.02,10,2.39,2.42,2.04,2.81,58.59,0.04,50,0,0,18.06,12.85,13.59,25.53,20.5,0.04,0.06,0.05,4.5,0.01,FALSE,will-amzn-reach-260-in-november,81773013533327189410587885921053435388605532954181927931735014648221420528083,110065169885426022016887220488591031675488026809452057788182951562158826730320,0xfcdf68f1ca702b7259d7df762acf77c5c85857c3ac872160fdcb863d023d5cb5
"Will Trump say ""Tariff"" 5+ times during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.39,2.39,2.36,2.42,37.69,0.06,20,3.37,3.63,3.34,2.36,16.05,10.82,10.82,0.66,0.68,0.67,4.5,0.01,FALSE,will-trump-say-tariff-5-times-during-saudi-investment-forum-on-november-19,115159387580604710326407605230276881218368886569852384119300264279541772542299,46157688592724643672751864832200223779295229992220440242604552539277373040381,0x5efab0d599e589f910c77904329c8254aa81c3f24cd7617f91038bcbf39dbbc1
"Will Trump say ""Communist"" during Saudi Investment Forum on November 19?",Yes,No,0.01,10,2.39,2.4,2.22,2.57,40.56,0.06,20,0,7.04,7.44,18.97,14.2,13.18,13.18,0.27,0.28,0.28,4.5,0.01,FALSE,will-trump-say-communist-during-saudi-investment-forum-on-november-19,60405863826036805395616735704009633587120745797349661574816217662797565985699,10602466691674424550281975826450645286834644854270809737377198570507026230848,0xd2132e52d9a3b30c00a667432a37e43660c8f41ddce19c503f0a27d8510c3f82
Will NVIDIA (NVDA) close above $200 end of November?,Yes,No,0.01,10,2.38,2.38,2.38,2.39,70.69,0.03,50,0,0,5.53,6.96,15.15,27.29,27.12,0.23,0.24,0.24,4.5,0.01,FALSE,nvda-above-200-on-november-28-2025,112590323475406192192012819814700831193163938287824007233932928543913964536559,95775911406465585035932258470946841542997665533642290286820743130913467775992,0x26485dcc60f52e07cfe2be544e01e563d3a68091ce0cadbaafb311010cc2c083
"Will Trump say ""Kennedy"" or ""Autism"" during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.36,2.36,2.44,2.28,81.58,0.03,20,29.38,29.88,32.81,28.58,26.42,27.58,27.58,0.47,0.49,0.48,4.5,0.01,FALSE,will-trump-say-kennedy-or-autism-during-saudi-investment-forum-on-november-19,32382309484706065721090172908314774266764502132047257607955095128347730974523,16545512256532962966829553497243161736982989470662675638490517170829770837285,0xa5ea7a8a1595a207f69970475a6f8bcc7de083d5ffce17a623157397fed57290
"Will Trump say ""UFC"" or ""America 250"" during Saudi Investment Forum on November 19?",Yes,No,0.01,10,2.36,2.37,2.23,2.5,77.37,0.03,20,7.54,11.03,13.16,20.79,14.71,31.33,31.33,0.38,0.39,0.38,4.5,0.01,FALSE,will-trump-say-ufc-or-america-250-during-saudi-investment-forum-on-november-19,62281411218891208811318562340949250009637415327471484048655030528252058355485,106712965858757197650101925132579071980850376167037449585403951406494637628633,0xbfc7d5cbc18e44fae4c882d807c4654d81438e178c333c15769fafc878ed7da4
Will Tesla (TSLA) close above $410 end of November?,Yes,No,0.02,10,2.36,2.37,2.36,2.37,56.66,0.04,50,0,0,4.4,3.13,8.67,27.6,22.03,0.43,0.45,0.44,4.5,0.01,FALSE,tsla-above-410-on-november-28-2025,10845657178874965284309997056615246218742856069841726052021617750225321859906,102375835141585978310116164806374605837357069766628906511093863126952309647723,0x48cfd07a635f346d5646144d3676484d30937229047f6de241be38e92d53d663
"Will Trump say ""Radical Left Lunatic"" during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.35,2.36,2.2,2.52,110.28,0.02,20,0,11.89,23.41,18.62,44,33.14,33.14,0.16,0.18,0.17,4.5,0.01,FALSE,will-trump-say-radical-left-lunatic-during-saudi-investment-forum-on-november-19,42317027268029078779961993737322494894614286076327578379102643250555576658506,56121901165772832210527667217788891440223914925282726899855800335942475108441,0x562776f58a3fdc30c9acd3286a419d92311bf1d0f02187bb4af81ce304281592
Will NVIDIA dip to $160 in November?,Yes,No,0.02,10,2.34,2.37,2.01,2.72,70.86,0.03,50,14.69,18.12,13.14,9.41,13.83,31.63,27.03,0.14,0.16,0.15,4.5,0.01,FALSE,will-nvda-dip-to-160-in-november,40973480362465860608210245486044145471736857320288995137116904630791436285622,2106893923031097243426202142596445925068012938171963765941153106725210718389,0x9e2633dba6da9ecb00b0ad30568a9d19c49434c4d22e5ad0191820a95c1f7260
Will Netflix reach $1243 in November?,Yes,No,0.02,10,2.3,2.3,2.27,2.33,54.76,0.04,50,0,0,0,4.55,22.77,15.43,29.27,0.14,0.16,0.15,4.5,0.01,FALSE,will-nflx-reach-1243-in-november,98393043418912615983326898032689596602242799089384080885671309690406640431522,52159961833681417503401550407300733233912499552401375830476065660370001512959,0x68af4e5e85d1a8c272a26f2803f1ea0ce02d8b91d466f295ffb62280473aa1ea
USD.AI FDV above $300M one day after launch?,Yes,No,0.02,20,2.3,2.5,3.49,1.52,50.4,0.05,20,0,0,2.59,8.93,16.8,16.8,16.8,0.93,0.95,0.94,3.5,0.01,FALSE,usdai-fdv-above-300m-one-day-after-launch,99804639596039576605430305696643768871601282444072106847249567969182778209050,3612143261816048676960739151526114664202477059052941634258763303373709468159,0x24bff5f42b508fb6ac2df89195d9835b89b828bd4e3513f7f07ef30814233547
Will Apple dip to $264 in November?,Yes,No,0.03,10,2.29,2.3,2.5,2.1,52.06,0.04,50,5.62,5.52,5.73,6.04,8.47,22.78,19.58,0.81,0.84,0.82,4.5,0.01,FALSE,will-aapl-dip-to-264-in-november,91459801039549961633436483214384416630314107820721973573155372658821715757799,49148087308545180266248825419734117539605125918681647836539679254363873309286,0xf4d6b60054faabc35964b6864de2baa1834d797ecb18200a978592708ac9c43d
"Will Trump say ""Hell"" 5+ times during Saudi Investment Forum on November 19?",Yes,No,0.01,10,2.29,2.29,2.15,2.43,73.18,0.03,20,13.01,11.19,16.39,21.55,26.66,23.26,23.26,0.35,0.36,0.36,4.5,0.01,FALSE,will-trump-say-hell-5-times-during-saudi-investment-forum-on-november-19,68180446089497607410731225537045536503089443801265264999934064440136292203693,77765358053059016441523104164004621833546207753452040533260008598196734104887,0xb96a9237a11bce44271aeeddae1de74690aad39dffd5d75a259f0e0558f818d5
Will Tesla (TSLA) close at <$425 on the final day of trading of the week of Nov 17 – Nov 21?,Yes,No,0.02,10,2.28,2.28,2.45,2.12,82.25,0.03,50,0,0,0,0,11.21,20.06,50.98,0.83,0.85,0.84,4.5,0.01,TRUE,will-tsla-close-below-425-week-november-21-2025,96772821602251068832843672191447386729469198065881609356378308106510290319701,112861952329765450411483313470298522777478304044959055398691910427768608370513,0x00cf75e944b09cb89707a34c62f2c444f0452a24a6f412ccfedd2b02cb29619e
Will Trump disparage Nick Fuentes by December 31?,Yes,No,0.03,10,2.28,2.28,2.28,2.29,27.98,0.08,100,0,0,0,0,0,10.86,17.12,0.13,0.16,0.14,4.5,0.01,FALSE,will-trump-disparage-nick-fuentes-by-december-31,87748904941125054460874434597996851945943530763169053460086812866864552301461,36231721302368302618746042646324678836795508494657111532739793513039971445315,0x2eaf444c649e7a1d8d83ca3eb8486b91edcbe409970d8369dacd806b2a964638
Will Walmart (WMT) beat quarterly earnings?,Yes,No,0.04,10,2.28,2.28,2.1,2.47,26.34,0.09,100,5.96,5.64,5.78,6.37,5.7,9.21,11.43,0.81,0.85,0.83,4.5,0.01,FALSE,wmt-quarterly-earnings-nongaap-eps-11-20-2025-0pt6,104075759853016105872204644222690011313680717329095117469696165563760439041943,18623110805817712919358406892828609351192851075011590328637327211449288253959,0x37ecaec524dfa449405d15ea13102316601816b616fec6b6d2b8911dc53b56e1
Will Palantir reach $210 in November?,Yes,No,0.02,10,2.27,2.27,2.14,2.4,53.55,0.04,50,0,0,0,0,5.27,19.74,25.53,0.08,0.1,0.09,4.5,0.01,FALSE,will-pltr-reach-210-in-november,88059264237603073165788447501458767218236967810679459592251969540713277790552,57993041604716482923350102572009328824434160087230315514095152957299617747320,0x43ba38791cd3ccc546b36c948407b1588bb62662aab44172cf5fd0ad1ff9416c
"Will Trump say ""Drill Baby Drill"" during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.25,2.27,1.98,2.56,99.65,0.02,20,19.68,15.71,21.98,18.98,25.47,37.09,37.09,0.34,0.36,0.36,4.5,0.01,FALSE,will-trump-say-drill-baby-drill-during-saudi-investment-forum-on-november-19-351-252-483,2788472384843901178349899893016939860602545380185976748738289612712939349675,74872233089332328692903824917481810776095937672460314092110641355913269730733,0xaa66eb115a855e259206b6716b518ee9323da8722c40ccf6d1bdda9565f4ee93
Will Tesla (TSLA) close above $400 end of November?,Yes,No,0.02,10,2.25,2.25,2.21,2.29,93.57,0.02,50,8.76,5.32,4.24,15.75,42.59,29.62,22.95,0.52,0.54,0.53,4.5,0.01,FALSE,tsla-above-400-on-november-28-2025,56288450697521196447899613123755159454188918649247859367599050167309181772228,38487374191381896671182986631514267036443691735929965671199707121477814427308,0x6d038d43ed1278635316dcc2d79a7cdc61a3a69cb5ff1423fbe913c47f5c8dde
>3.1 million TSA travelers any day November 23-30?,Yes,No,0.02,10,2.24,2.26,2.03,2.48,57.32,0.04,50,0,8.26,9.08,6.43,19.76,18.78,18.78,0.28,0.3,0.29,4.5,0.01,FALSE,3pt1-million-tsa-travelers-any-day-november-23-30,95367458729638716968877924681577045938425214940929773487155595986437514406572,31995456259933295170864148982335064105066355676483982509780263324398586614431,0x73dd52218df11f0f1efb87ca54b91cb20202ea26f91ecada0adac3937fd9f46f
Will NVIDIA (NVDA) close above $190 end of November?,Yes,No,0.02,10,2.23,2.24,2.33,2.14,69.76,0.03,50,0,0,5.08,5.15,14.16,29.96,25.23,0.37,0.39,0.38,4.5,0.01,FALSE,nvda-above-190-on-november-28-2025,31907262940342193314824030089795392249182017190761007792171189113008756848157,99301726803077689398251805310513754545639730850554305313972355447814646135707,0x46cd69cd7706348c70d038ccc4267920d5648fe93be4f3475a6763f37de01d13
"Will Netflix (NFLX) close above $1,100 end of November?",Yes,No,0.04,10,2.22,2.24,2.52,1.96,58.08,0.04,50,4.8,3.92,4.59,4.59,19.76,18.29,21.47,0.71,0.75,0.73,4.5,0.01,FALSE,nflx-above-1100-on-november-28-2025,103061966715827705079464346132920663870457292271263349727992765956832544937369,5363396194999666738363824382291579989823080384794541280180010205969330344660,0xbde2bf547081a6733dfc9b5956b2d31140cc921577e4d6f2a0c67bef02535954
"Will Netflix (NFLX) close above $1,080 end of November?",Yes,No,0.03,10,2.22,2.22,2.09,2.35,76.83,0.03,50,5.76,7.63,8.8,8.14,29.23,24.09,22.7,0.78,0.81,0.8,4.5,0.01,FALSE,nflx-above-1080-on-november-28-2025,33322067680290319982862844740870419069377195354910196027256614402954448518700,83444950490530219507469692158720853684348339568377753601885303825329274880764,0xf697c932db28a91aac316e24fcc915526b21785baf6da18a17fc4e0d66cdf1cf
Will Google (GOOGL) close above $280 end of November?,Yes,No,0.03,10,2.21,2.22,2.26,2.17,67.48,0.03,50,7.01,4.25,3.05,3.86,21.7,24.45,20.18,0.65,0.68,0.66,4.5,0.01,FALSE,googl-above-280-on-november-28-2025,8227969489033408916747877374460134986297523646490211979790291392510585074531,73712784837260466982094270442865360313850047524286505506487751499723445790403,0x896342885bd292546e4f97cca7e00b9095766c12a2bb4eaea3bbf691f3684ea4
Will Google dip to $270 in November?,Yes,No,0.01,10,2.21,2.24,1.9,2.58,93.05,0.02,50,10.38,11.99,9.45,11.07,24.89,35.75,27.57,0.33,0.34,0.34,4.5,0.01,FALSE,will-googl-dip-to-270-in-november,24744719567741875104597137544812949163676904021200378554905884510098234916001,19942911703766457861930242334889277998634251548532703522198354447444220075480,0xc8b228b3872386745b8754129868e8612f27cac175f1984162b54631e5c56891
Will Opendoor (OPEN) finish week of November 17 above $5.50?,Yes,No,0.02,20,2.19,2.33,3.1,1.55,79.38,0.03,20,0,0,1.05,2.26,26.46,26.46,26.46,0.94,0.96,0.95,4.5,0.01,FALSE,open-above-5pt5-on-november-21-2025,81219621698652444755239799447533663461308410578556739971427214596960731977167,90500330224785921675322221115550929092141655697673543164710928692259607981906,0x83d611aaffd29d736cc4336bdf5c5d9ee108491b812e5baa77b7af85cdef8221
Will Microsoft (MSFT) finish week of November 17 above $550?,Yes,No,0.008,20,2.17,2.58,3.98,1.18,459,0,20,0,0,0,56.27,153,153,153,0.003,0.011,0.01,4.5,0.001,FALSE,msft-above-550-on-november-21-2025,23354669773972202128254398790670270717610014857757376876208317748960689296181,9738717648118306152600745998917191091030750403970084622477814728206460613548,0x8fda0c005de625ff2c0ec9272120df19af5ed2ab8185a9f00c4f59905e1532f7
"Will Trump say ""Nuclear"" 2+ times during Saudi Investment Forum on November 19?",Yes,No,0.04,10,2.17,2.17,2.19,2.15,33.75,0.06,20,4.67,4.83,4.99,8.61,11.41,11.17,11.17,0.72,0.76,0.74,4.5,0.01,FALSE,will-trump-say-nuclear-2-times-during-saudi-investment-forum-on-november-19,105346051767726599048127846875697211842675480676915656260481709125223003902994,75592834228621617119340483603519603301760747722085281986089762855262814846979,0x3f7ac07a387e70805eb8a8430766f87970eca64190134f1b21f1edafd1b1c21e
Maduro visits the U.S. by December 31?,Yes,No,0.005,30,2.17,2.31,3.08,1.53,132.86,0.02,20,0,0,0,0,20.28,56.29,56.29,0.015,0.02,0.02,4.5,0.001,FALSE,maduro-visits-the-us-by-december-31,94551189706768110177511746036463324403513683608268291214284340512210170152748,54235496776724962906823497519610892104349573014934347478507069427286271056805,0x3186c63e4814cad29023575f1a4c483f20a5d6539f7e97e8b8af46898791776a
Will Best Buy (BBY) beat quarterly earnings?,Yes,No,0.07,5,2.14,2.14,2.25,2.03,12.92,0.17,50,10.84,6.58,4.72,3.36,2.38,1.65,8.89,0.82,0.89,0.86,4.5,0.01,FALSE,bby-quarterly-earnings-nongaap-eps-11-25-2025-1pt31,80166515042601357395199544453192434651664149833539404092970310405782436491819,85448258372724092093059844925006847147298677406726781700948379170356671529374,0xb95e125e51efa5ce18ef32627b1ea73975bf4fe6d6faccbcff631ca1c095b710
Monad market cap (FDV) >$6B one day after launch?,Yes,No,0.01,20,2.13,2.18,1.71,2.65,69.59,0.03,50,50.81,30.84,26.69,31.9,23.52,24.13,23.7,0.08,0.09,0.08,3.5,0.01,FALSE,monad-market-cap-fdv-6b-one-day-after-launch-888-688-287,104797616449656473575071969337776074257635676372627894320909124081720734602653,34104185373158411850791855686664515022393622199449720708991957387589287278240,0x9176fae5ec5340e7ecf584d01fd8ba3c164bd8de6abf97cb13d8f0c9571e24c0
"Will Trump say ""Biden"" or ""Obama"" 5+ times during Saudi Investment Forum on November 19?",Yes,No,0.02,10,2.13,2.13,2.14,2.12,41.47,0.05,20,3.48,3.77,7.94,15.83,13.37,14.05,14.05,0.64,0.66,0.65,4.5,0.01,FALSE,will-trump-say-biden-or-obama-5-times-during-saudi-investment-forum-on-november-19,113245626902430191218591129860084567071979481859123769328241550880414995920672,84016855027839610370277367702549485054448284562785005517016885298695440378387,0x1fb578531de82d7baf1418b490e3e26bf82ccd113d8cc44c1fa00d1855eb0496
Will Donald Trump rank in Google’s Top 5 Most Searched People of 2025?,Yes,No,0.02,30,2.09,2.1,2.37,1.84,17.55,0.12,100,12.31,7.47,10.41,7.42,6.66,5.16,9.7,0.37,0.39,0.38,4.5,0.01,FALSE,will-donald-trump-rank-in-googles-top-5-most-searched-people-of-2025,104186797486634922882039659043251059270915778073356605448905656754606544725766,83280687295366923684863163111471047651668247655100947012947759809116119055989,0x6686687c7bc69e01f9f9b75bfbec3737c06463d074efd12919a4e7c131a1df50
Will The Gap (GAP) beat quarterly earnings?,Yes,No,0.07,5,2.09,2.09,2.21,1.97,13.35,0.16,50,0,7.66,5.47,3.89,2.75,1.74,8.86,0.81,0.88,0.84,4.5,0.01,FALSE,gap-quarterly-earnings-gaap-eps-11-20-2025-0pt58,5766616905556843799720839445783318750511327781460518241532849925352657153970,97320253605301290191433930217388450471386167832294274907969260706407618089253,0x63075823f870341b0ce734a369e449a2c3f8a6f2dce2785ad6cd4c65f8a3b119
Will Airbnb (ABNB) finish week of November 17 above $140?,Yes,No,0.004,20,2.09,2.34,3.4,1.28,,nan,20,,,,,,,,0.003,0.007,0,4.5,0.001,FALSE,abnb-above-140-on-november-21-2025,101221541171266286506911932657067945498263816258884187436271919075493345262583,93093296019883563870162477630354890472297020033781306012200524374640915349023,0xf3b88abe92e073753acb387c8a95ca6020e6b1d706edb40a589e3897894d0799
Will global temperature increase by between 1.25ºC and 1.29ºC in November 2025?,Yes,No,0.026,50,2.08,2.21,1.45,2.97,227.1,0.01,20,142.68,96.85,70.05,73.18,75.7,75.7,75.7,0.023,0.049,0.04,4.5,0.001,TRUE,will-global-temperature-increase-by-between-1pt25c-and-1pt29c-in-november-2025,61115202606187936799238978153831690994903367322013904219112240006171704678300,43514561713004834865326151285106241502595428338101285896610083827036713756574,0x2a9467b67e8371f7e9a318f6585c408417ee95fde2edf4a4b9c27b3ef006d8f7
"Will Trump say ""Princess"" during Saudi Investment Forum on November 19?",Yes,No,0.01,10,2.06,2.06,2.13,2,70.57,0.03,20,0,0,0,5.61,4.71,32.93,32.93,0.45,0.46,0.46,4.5,0.01,FALSE,will-trump-say-princess-during-saudi-investment-forum-on-november-19,26732057323005203045180173058876246526431371709400987619511947881607781479791,103498182390208907034888989117582697378143181448748433010011761355839530182550,0x51511d541f1c13f3e05eb5a043f77a37e82a4b32fe0ca23c645687777fa4fd22
"Will GMGN launch a token by December 31, 2026?",Yes,No,0.02,10,2.06,2.06,2.11,2.02,117.75,0.02,50,0,0,0,1.52,40.97,38.39,38.39,0.46,0.48,0.47,3.5,0.01,FALSE,will-gmgn-launch-a-token-by-december-31-2026,41598414962948210958667248206456248561001087974592654290952701047881063817735,46724890060968572817036789726854569767059000266050190444989884404023095709327,0x7c766e85bfe1b85b10f5a3d130d1b1772645c797038567fad69db4ae70b19b99
Will the Monad public sale commitments be between $800M and $1B?,Yes,No,0.014,50,2.05,2.12,1.6,2.63,224.37,0.01,100,50.81,104.46,81.72,59.57,59.01,82.68,82.68,0.041,0.055,0.05,4.5,0.001,TRUE,will-the-monad-public-sale-commitments-be-between-800m-and-1b,111732306829090318116181023096073033124207897765511839440327472005312216693580,73828977178694272084590219461781288857207042954161252128058629051532308343980,0x3b3a5c85aef8585fc4a91cb4b8b7c0526af0680e5352640b7dcc57db2b3ae270
Will Russia capture all of Pokrovsk by November 30?,Yes,No,0.01,20,2.05,2.24,1.33,3.16,43.79,0.05,200,11.4,6.58,7.87,10.82,15.17,15.67,21.12,0.3,0.31,0.3,3.5,0.01,FALSE,will-russia-capture-all-of-pokrovsk-by-november-30-216-555-463,85167288146037550124590742177395024806389777093446726425245361936054116457952,28621063929473381770601580234894346643084674035526528736843034766509981418004,0x135096de7aea3a66f65be697fa6d6162b28828ae15f4802a41f2c3b719792e5c
Will Netflix (NFLX) finish week of November 17 above $170?,Yes,No,0.004,20,2.05,2.28,3.3,1.27,,nan,20,,,,,,,,0.003,0.007,0,4.5,0.001,FALSE,nflx-above-170-on-november-21-2025,34465013698126359164844062106715078828391404340082484256889557981254852065093,81568733335505558596575736937794438400563482126765500117227431836322091049297,0x5aaa331bad540249be9d1c05c54459a451f07303e4b89aca628301a21807e885
Will Google (GOOGL) close above $270 end of November?,Yes,No,0.02,10,2.04,2.04,2.02,2.06,77.21,0.03,50,0,0,0,0,2.64,42.32,30.7,0.83,0.85,0.84,4.5,0.01,FALSE,googl-above-270-on-november-28-2025,78341481880346420793720264700672959558717588444777965013455879960060392449747,102724431011027824854601409526070172180090499864898014683449992045909816333091,0x77cf942b279a4eb8362261a6fad0490f6e6400d8c52a2f91b816a94de913134e
Will Netflix dip to $1050 in November?,Yes,No,0.03,10,2.03,2.04,1.8,2.28,99.73,0.02,50,0,0,5.35,5.22,14.53,41.53,39.23,0.17,0.2,0.18,4.5,0.01,FALSE,will-nflx-dip-to-1050-in-november,109176985745730388398013053205590535560490868817001794547246190093921488790462,111611566136946086433575078145023113934967752618434255498222829517268801799977,0x78fcb19cf891f1c039c45339dbad0a57e5a2ff53f93c0ac5494d82d09ef00450
Will Apple (AAPL) close above $260 end of November?,Yes,No,0.03,10,2.02,2.03,2.26,1.8,72.9,0.03,50,0,2.62,1.86,1.31,20.32,27.14,24.18,0.75,0.78,0.76,4.5,0.01,FALSE,aapl-above-260-on-november-28-2025,77429596290979814668108639360390942313672329303751000979001639733823158550445,20216241096573382862883801716289861469834830302055760977393206435241723813728,0xfd021eb4a81a4d926e6da2e3e1a6cbbe847f38fcb44d1a32ac7402b1e50d7447
Will MrBeast hit 103.5 billion views by December 31?,Yes,No,0.01,20,2.01,2.19,1.32,3.07,31.08,0.06,20,0,0,0,0,2.48,14.3,14.3,0.9,0.91,0.9,4.5,0.01,FALSE,will-mrbeast-hit-103pt5-billion-views-by-december-31,74195765242726888704863300346447349853246647705037721131561187325615795716272,75730782778470651411169743544010339353638975103564136505514351196194743457929,0xc57f804b724ca6600212526342dd7804192acb2b0899140a1d0a91dc31c2e603
Will The J. M. Smucker (SJM) beat quarterly earnings?,Yes,No,0.07,5,2.01,2.02,2.06,1.97,23.63,0.09,50,0,0,0,0,0,10.5,13.13,0.86,0.93,0.9,4.5,0.01,FALSE,sjm-quarterly-earnings-nongaap-eps-11-25-2025-2pt1,7908269671037638624501070955234928285276170223005115982541863568036371319406,4429954431703920210737532790143565447449171993756048950351016465786093015700,0x72d953acfaf2d2e7c211836a3a02aa73506fcb2da1db2296f356db1efd385421
Will Palantir reach $216 in November?,Yes,No,0.01,10,2,2,2.12,1.89,69.63,0.03,50,0,0,0,0,0,33.32,32.13,0.07,0.08,0.08,4.5,0.01,FALSE,will-pltr-reach-216-in-november,34875613058012493056836107050509247038025996498408546053940113654601717914973,45444216561863921115114821875094152718311900627800908507976287657822718175389,0x74afaf8542ff8a737a226e24cfa1c9af48df23e484b1dd27fff83c8aeca81623
Will Airbnb (ABNB) finish week of November 17 above $105?,Yes,No,0.02,20,1.97,2.08,2.73,1.42,111.15,0.02,20,0,0,0,0,37.05,37.05,37.05,0.95,0.97,0.96,4.5,0.01,FALSE,abnb-above-105-on-november-21-2025,2375452930198667090298298748375739373888357794603078525777954941915566029884,45831313480468414651164537338185619167711350468472821369180292644323103052030,0x7dde458b737f8273d6f9e9378a76f6ef39b57db395e4cca7962d8ab42ee744a4
Will Tesla deliver between 425000 and 450000 vehicles in Q4 2025,Yes,No,0.06,5,1.97,1.98,1.97,1.98,65.42,0.03,100,17.84,15.73,23.16,21.39,18.74,13.13,25.42,0.16,0.22,0.2,4.5,0.01,TRUE,will-tesla-deliver-between-425000-and-450000-vehicles-in-q4-2025-978,95616132584173619995509963735421421409282546053303302554374188979146346916115,107326973982251577321177791887399919040910373885149964717553653671941836967795,0xf5c8b9c3492c064a28e3e8f197ff545de824f2c28bec1b5f6344287d8feab15d
